id;productgroup;main_text;add_text;manufacturer
67117708;BICYCLES;683044  MTB 26 MTB 26 WEISS 53;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_MOUNTAINBIKE;
37749052;BICYCLES;S'COOL NIXE 12 VIOLETT;FAHRRAEDER>>KINDERFAHRRAEDER>>KINDERRAEDER12-18ZOLL;S'COOL
65709689;USB MEMORY;VERBATIM STORE N GO V332GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;VERBATIM
52338167;BICYCLES;4856 RC-MODUL SET PLUS;78095;GEOBRA-BRANDSTAETT.STIFT.
62309148;USB MEMORY;USB-STICK 64GB VERBATIM 3.0 STORE N GO BLACK;USB-SPEICHER;VERBATIM
23692033;WASHINGMACHINES;WM14N0A1 WEISS  WASCHMASCHINE, 7 KG FUELLMENGE, SCHLEUDERDREHZAHL U/MIN: MAXIMAL 1.400, TOUCH-CONTROL-BEDIENUNG, ENDZEITVORWAHL, NACHLEGEFUNKTION, LED-DISPLAY, PROGRAMMABLAUFANZEIGE, RESTZEITANZEIGE, PROGRAMME UND OPTIONEN: FEIN/SEIDE, VARIOPERFECT (SPART ZEIT ODER ENERGIE), WOLLE/HANDWAESCHE, BELADUNGSERKENNUNG, M WM14N0A1;WASCHMASCHINEN (STAND);SIEMENS
40738848;USB MEMORY;LUEFTER ARCTIC 80*80*25 F8;LÜFTER;ARCTIC
25792306;WASHINGMACHINES;WM14N090 A+++ / 6KG;WASCHAUTOMAT BIS 1400 UMIN;SIEMENS-HAUSGERAETE
26413153;WASHINGMACHINES;L 76479 WFL  LEISTUNGSEIGENSCHAFTEN  - ANSCHLUSSWERT: 2.2 KW  - DAUER DES NICHT-AUS-ZUSTAN;WASCHMASCHINEN;AEG
22294875;WASHINGMACHINES;WASCHVOLLAUTOMAT, VOLLINTEGRIERT;846;
17727122;WASHINGMACHINES;AEG L82470BI EINBAU-WASCHMASCHINE / A+++ / 1400 UPM / 7 KG / WEISS / KNITTERSCHUTZ / AQUASTOP;MAJORAPPLIANCES__2000LAUNDRY__2030BIFRONTLOADWASHINGMACHINES;AEG
18414749;CONTACT LENSES;AIR OPTIX FOR ASTIGMATISM TORISCHE MONATSLINSEN WEICH, 6 STUECK / BC 8.7 MM / DIA 14.5 / CYL -0,75 / ACHSE 10 / -5,25 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3102TORICCONTACTLENSES;ALCON
62220075;CONTACT LENSES;PUREVISION 2HD FOR ASTIGMATISM6 STÜCKUNISEX;LINSEN;B&L
62207639;CONTACT LENSES;CONTACT DAY 30 COLOURS2 STÜCKUNISEX;LINSEN;WOEHLKZEIS
63867518;USB MEMORY;__USB STICK STARWARS KYLO REN 16GB;MEMORY__1610__MEMORY__1600;SONSTIGES
62212168;CONTACT LENSES;AIR OPTIX COLORS2 STÜCKUNISEX;LINSEN;CIBA
28772616;WASHINGMACHINES;BOSCH WOT 20297 TOPLADER 7KG A+++ BOSCHWOT20297;08005045__WEISSE WARE__GROSSELEKTRO__WASCHMASCHINEN;ROBERT BOSCH HAUSGERAETE GMBH
42330918;BICYCLES;BERGAMONT VITOX 5.0 PEARLWHITE/RED/BLUE 37 CM;1_1_2;BERGAMONT
62113553;USB MEMORY;SLIDER USB 2.0 DRIVE 16GB SLIDER USB 2.0 DRIVE 16GB 16GB, USB 2.0, 10MB/SEC;HARD-/SOFTWARE - ARTGR HARD-/SOFTWARE;VR
64628527;USB MEMORY;PENDRIVE 16GB BULK SERIGRAFABILE S PENDRIVE 16GB BULK SERIGRAFABILE S;CHIAVETTE USB __ 16 GB;NILOX STORAGE
66970642;BICYCLES;417953  BMX 20 BMX 20 SILBER-GRUEN 28;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_KINDERRAEDER 10 ZOLL 24 ZOLL;
25758473;WASHINGMACHINES;WMY 81643 PTLE  EEK: A+++ 8 KG  1600 TOUREN  WEISS;WASCHMASCHINE FRONTLADER;BEKO
49438568;WASHINGMACHINES;112 WASCHVOLLAUTOMAT L63470FL AEG  ST 0001 0 18294 20160910;1860079;
30086133;USB MEMORY;RAMCO 1GB USB STICK USB 2.0;75;DIV. HERSTELLER
25761275;WASHINGMACHINES;CWF13B12;WASCHAUTOMAT FRONTLADER;CONSTRUCTA
30008482;USB MEMORY;SANDISK CRUZER GLIDE 8GB USB;H100__GENERAL HARDWARE;SANDISK
28957930;WASHINGMACHINES;W 7243 PB;WEI.WARE+KUECHEN__WAESCHEPFLEGE__WASCHVOLLAUTOM.;GORENJE
25086890;WASHINGMACHINES;HGG WAM BEKO WML 15106 NE WEIÃŸ#;UNASSIGNED;BEKO
72382353;CONTACT LENSES;CONTACTLINSEN MPG&E CONTACTLINSEN GMBH COMPACT PERFECT SMART FOCUS (M;CL;MPG&E CONTACTLINSEN GMBH
66900424;WASHINGMACHINES;159277  WASCHMASCHINE WASCHMASCHINE EH19 WEISS;411103__HARTWAREN_HAUSHALTSELEKTRO_WAESCHEPFLEGEKUEHLEN_WASCHMASCHINEN;
49084654;USB MEMORY;32 GB ALU LINE SCHWARZ;50701010__DATENTRAEGER;INTENSO
42320177;BICYCLES;RALEIGH ROAD CLASSIC HS 24 TR MATTSCHWARZ 55 CM;1_2_3;RALEIGH
65454574;USB MEMORY;ZZ USB-STICK  16GB TAKEMS LUMX BLUE RETAIL;USB-SPEICHER;TAKEMS SONDERPOSTEN
28762206;WASHINGMACHINES;SIEMENS WM14U640 WASCHMASCHINE AVANTGARDE SIEMENSWM14U640;08005045__WEIÃŸE WARE__GROÃŸELEKTRO__WASCHMASCHINEN;SIEMENS ELECTROGERÃ¤TE GMBH
24092083;WASHINGMACHINES;WASCHVOLLAUTOMAT OMV510A+ OMV510A+|| EEK:A+, 1000 U/MIN, 5KG KAPAZITAET  5043487;412;VESTEL GERMANY GMBH
17755439;CONTACT LENSES;AIR OPTIX NIGHT & DAY AQUA MONATSLINSEN WEICH, 6 STUECK / BC 8,6 MM / DIA 13,8 MM / -06,75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;ALCON
56434778;WASHINGMACHINES;CANDY GO W 465 WASCHTROCKNER AKTION:0;82;
62236524;CONTACT LENSES;SOFLENS TORIC6 STÜCKUNISEX;LINSEN;B&L
67127082;BICYCLES;264147  SINGLESPEED 28 SINGLESPEED 28 SILBERFARBEN 2;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_FAHRRAEDER;
66687247;USB MEMORY;49062 VERBATIM USB-STICK PINSTRIPE/49062 8GB  PCK:000 PEH:1 MEH:STUECK;EDV-ZUBEHOER;
29825170;USB MEMORY;USB S50 8GB;USB-STICKS FLASH;UNBRANDED
37681313;BICYCLES;CUBE ACCESS WLS GTC SL REEFBLUE'N'FLASHRED;FAHRRAEDER>>MOUNTAINBIKES>>LADYBIKESHT;CUBE
62219368;CONTACT LENSES;1-DAY ACUVUE MOIST ASTIGMATISM90 STÜCKUNISEX;LINSEN;J&J
65823116;USB MEMORY;LEXAR JUMPDRIVE USB 3.0 32GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;LEXAR
66005355;USB MEMORY;KINGSTON DATATRAVELER 101 G3, USB 3.0, 64GB, SCHWARZ;MOBILFUNKZUBEHOER__0230 MOBILFUNK EXT ZUBEHOER__SPEICHER USB STICKS;KINGSTON TECHNOLOGY
66932979;BICYCLES;721769  CROSS-TREKKING 28 CROSS-TREKKING 28 GRAU 1;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_CROSSTREKKING;
60612009;WASHINGMACHINES;WKF 110 WPS  PACKGR:1;ELEKTRO-GROSSGERAETE__STANDGERAETE__WASCHAUTOMAT-FRONTLADER;MIELE
17614264;CONTACT LENSES;DAILIES AQUACOMFORT PLUS TORIC TAGESLINSEN 30 STUECK / BC 8.8 MM / DIA 14.4 / CYL -0.75 / ACHSE 10 / -4.75 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3102TORICCONTACTLENSES;ALCON
37700823;BICYCLES;VERMONT BRENTWOOD DAMEN WEISS;FAHRRAEDER>>TREKKINGRAEDER>>TREKKING&TRAVELBIKES;VERMONT
66875915;BICYCLES;641033  CITY 26 CITY 26 BEIGEFARBEN 42;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_SPORT CITY TOURINGRAEDER;
62886393;USB MEMORY;USB 64 GB +FILE RESCUE/X-PICT STORY SOFTWARES 2YEARS WARRANTY;MEMORY AND PROCESSORS __ USB STORAGE MEDIA;SONY
52078787;WASHINGMACHINES;WMG 820 WPS D LICHTWEISS  ;00754__WASCHMASCHINE FRONTLADER ÜBER 1400 RPM;MIELE
42270172;BICYCLES;FUJI TRACK BLACK 61 CM;1_5_5;FUJI
43522395;USB MEMORY;RAINBOW LINE 16GB USB DRIVE 2.0  SCHWARZ SPEICHERSTICKS 3502470;SPEICHERMEDIEN_SPEICHERSTICKS_UNASSIGNED;INTENSO
26306304;WASHINGMACHINES;WM 14 W 590;WASCHMASCHINEN;SIEMENS
20393031;CONTACT LENSES;MANGA & ANIME KONTAKTLINSE RED NIGHTS BY ARICONA ? DECKENDE, FARBIGE JAHRESLINSEN FUER DUNKLE UND HELLE AUGENFARBEN OHNE STAERKE, FARBLINSEN FUER COSPLAY, KARNEVAL, FASCHING, HALLO;HEALTH&PERSONALCARE__3100OPTICS__3104COLOUREDCONTACTLENSES;ARICONA
40697744;USB MEMORY;USB-STICK  8GB KODAK  K100  USB 2.0;USB-SPEICHER;EMTEC
29670357;USB MEMORY;LEEF IBRIDGE WHITE 64GB USB 2.0 AUF LIGHTNING;QUICKSHOPPING;
61120606;CONTACT LENSES;1-DAY ACUVUE MOIST 30ER BOX;CL;
48595164;WASHINGMACHINES;BOSCH WVH 28440;5070;BOSCH ROB.HAUSGERAETE GMBH
17878936;CONTACT LENSES;ACUVUE 1-DAY MOIST FOR ASTIGMATISM TAGESLINSEN WEICH, 30 STUECK / BC 8.5 MM / DIA 14.5 / CYL -0.75 / ACHSE 10 / -0.25 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3102TORICCONTACTLENSES;ACUVUE
37701314;BICYCLES;VOTEC VX PRO - TOUREN/TRAIL FULLSUSPENSION 29 - DARK GREY GLOSSY/BLACK MATTE;FAHRRAEDER>>MTBFULLSUSPENSIONS>>MARATHON/TOURFS;VOTEC
25050160;USB MEMORY;MEM TRANSCEND 32GB JETFLASH 730 USB 3.0, WEIß;UNASSIGNED;TRANSCEND
52853803;USB MEMORY;SANDISK USB-STICK CRUZER BLADE SDCZ;183;SOENNECKEN / LS: 1
37655747;BICYCLES;FIXIE INC. FLOATER GREY;FAHRRAEDER>>SINGLESPEED>>OLDSINGLESPEEDMITRENNRADLENKER;FIXIE INC.
25637092;BICYCLES;28 FAHRRAD FIXIE SINGLESPEED FLIP FLOP GRÜN  56 cm;FAHRRAEDER // SONSTIGE FAHRRAEDER;SCHALOW & KROH GMBH
37714358;BICYCLES;KREIDLER RAISE RT4 V2 TRAPEZ DAMEN ACERA 27G ANTHRAZIT GLAENZEND;FAHRRAEDER>>TREKKINGRAEDER>>DAMENRAEDERAB500;KREIDLER
28948502;USB MEMORY;VER 16GB STORE N GO USB BLACK*;BRAUNE WARE__HARDWARE-ERWEIT__SPEICHERKARTEN;VERBATIM
29604640;CONTACT LENSES;1INHALT: 2 x 6er PureVision2;UNASSIGNED;
22673099;WASHINGMACHINES;3BAUWAPLATINUM881  WA PLATINUM 881 WASCHAUTOMAT;310100;BAUKNECHT
60980436;BICYCLES;PROPHETE WAVE 20 EINSTEIGER 6.0 O O O  933328;H006W0792344__WERKZEUG_AUTO/FAHRRAD_FAHRRAEDER;SI-ZWEIRAD-VERTRIEBS GMBH
65777302;USB MEMORY;SANDISK CRUZER FIT16GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;SANDISK
62208848;CONTACT LENSES;FRESHLOOK COLORBLENDS2 STÜCKUNISEX;LINSEN;CIBA
72350493;CONTACT LENSES;CONTACTLINSEN SWISSLENS BORELIS MULTIFOKAL SL6;CL;SWISSLENS
58019003;BICYCLES;Alu City  Fahrrad3-Gang  26er 26er;878708706__FAHRRAD_FAHRRAEDER_CITYRAEDER;MIFA MITTELDEUTSCHE
26470526;USB MEMORY;SAN CRUZER BLADE 64GB;175;HAMA GMBH & CO.KG
37679604;BICYCLES;FIXIE INC. FLOATER PINK;FAHRRAEDER>>SINGLESPEED>>OLDSINGLESPEEDMITRENNRADLENKER;FIXIE INC.
62208295;CONTACT LENSES;BIOFINITY TORIC 6ER BOX6 STÜCKUNISEX;LINSEN;COOPER
42324009;BICYCLES;KID PUKY ZL 16-1 ALU LILLIFEE LILLIFEE EINHEITSGROESSE;1_6_9;PUKY
16292628;CONTACT LENSES;MERALENS A0395 GREEN WEREWOLF KONTAKTLINSEN MIT PFLEGEMITTEL MIT BEHAELTER OHNE STAERKE, 1ER PACK (1 X 2 STUECK);HEALTH&PERSONALCARE__3100OPTICS__3104COLOUREDCONTACTLENSES;MERALENS
28379759;USB MEMORY;TRANSCEND 16GB JETFLASH 790 USB 3.0 > HIGHLIGHTS- KOMPATIBEL ZU SUPERSPEED USB 3.0 & HI-SPEED USB 2.0- KAPPENLOSES DESIGN MIT AUSSCHIEBBAREM USB-KONNEKTOR- LED STATUSANZEIGE- LEICHT UND KOMPAKT- BEFESTIGUNGSOESE- KOSTENLOSER DOWNLOAD DER TRANSCEND ELITE  DATENMANAGEMENT SOFTWARE  > GRUNDEIGENSCHAFTEN - FARBE: SCHWARZ - HOEHE: 63,3 MM - BREITE: 21,2 MM - TIEFE: 10,6 MM - GEWICHT: 4,9 G  > SPEICHER - INTERNER SPEICHER 16 GB - TYP USB STICK STECKPLATZ  > HIGHLIGHTS- KOMPATIBEL ZU SUPERSPEED USB 3.0 & HI-SPEED USB 2.0- KAPPENLOSES DES;EXTERNES ZUBEHOER__TRANSCEND__SPEICHER USB STICKS;
31370391;USB MEMORY;SPEICHERSTICK USB 3.0 PROBO 16GB KLAVIERLACKDESIGN SCHWARZ;201040;HAMA GMBH & CO. KG
26458432;WASHINGMACHINES;WAE 28476 EX  HERZLICHEN GLüCKWUNSCH ZU IHRE  WIR MöCHTEN SIE DARAUF HINWEIS  SOLLTE DIES NICHT KORREKT ERFO;WASCHAUTOMATEN SOLO;BOSCH -W-
26296264;WASHINGMACHINES;WM14W690;WASCHMASCHINEN;SIEMENS
63152607;USB MEMORY;HP 8GB USB EM FLASH MEDIA KIT HP 8GB USB EM FLASH MEDIA KIT  IN;MEMORY AND PROCESSORS __ USB STORAGE MEDIA;HP ENTERPRISE
51834061;WASHINGMACHINES;WML 15106 MNE+  ;00716__WASCHMASCHINE FRONTLADER SCHMAL;BEKO
29196994;USB MEMORY;USB  16GB 11,5/155 ATOM  U3 MSK  PCK:42000 PEH:0 MEH:ST;COMPUTER;MUSHKIN
20540578;USB MEMORY;SILICON POWER SP008GBUF3J50V1T 8GB SPEICHERSTICK USB 3.0 METALLIC GRAU;PC__1100COMPUTINGMEMORY__1105USBFLASHDRIVES;SILICON POWER
64205194;USB MEMORY;USB 3.0 128GB, KEY-RING SIZE, PLUG AND P;PERIPHERALS __ FLASH MEMORY __ USB MEMORY STICKS;CORSAIR
27815068;USB MEMORY;1489728 VERBATIM USB-STICK 64GB ISTORE N GO;02124__COMPUTERTECHNIK&BUE_MEDIEN/LESEGERAETE_USB-MEMORY;
26385540;WASHINGMACHINES;WM 14 K 227 WASCHMASCHINE A+++ 7KG SCHON  EFFZ: A+++  7 KG FASSUNGSVERMöGEN  1400 U/MIN;WASCHMASCHINEN;SIEMENS
43520078;WASHINGMACHINES;WD8AK5400W  WEISS WASCHTROCKNER (STAND);ELEKTRO-GROSSGERAETE_WASCHTROCKNER(STAND)_UNASSIGNED;SAMSUNG
64107680;USB MEMORY;USB UV131 64GB 3.0 GRAY;PERIPHERALS __ FLASH MEMORY __ USB MEMORY STICKS;ADATA
62219259;CONTACT LENSES;ECCO CHANGE 30 T3 STÜCKUNISEX;LINSEN;MPG&E
42304671;BICYCLES;COMPEL CITY X HERREN MATTSCHWARZ 60 CM;1_9_1;COMPEL
57378974;USB MEMORY;SONY USM16SA1W 16GB USB-SPEICHERSTICK, WHITEUSM16SA1W;____;
42302241;BICYCLES;BERGAMONT REVOX 8.0 SCHWARZ/GRAU/WEISS 42 CM;1_1_5;BERGAMONT
72359868;CONTACT LENSES;ECCO SOFT 4 SEASONS ZOOM T ML (MIT TAUSCH);CL;MPG&E
37643691;BICYCLES;KONA ROVE ST DARK MINT;FAHRRAEDER>>FITNESSBIKES/CYCLOCROSS>>CYCLOCROSSER&GRAVELBIKES;KONA
52856919;CONTACT LENSES;SAFE-GEL 30 - EINZELLINSE;KONTAKTLINSEN;
